	Smoothed Temp = 91.00, 
2017-05-01T23:01:33-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:33-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:33-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:34-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:34-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:34-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:34-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:34-04:00, 	Raw gas reading:,510,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:34-04:00, 	Raw gas reading:,510,	Smoothed gas reading:,510,	Smoothed Temp = 91.00, 
2017-05-01T23:01:35-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,510,	Smoothed Temp = 91.00, 
2017-05-01T23:01:35-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,510,	Smoothed Temp = 91.00, 
2017-05-01T23:01:35-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,510,	Smoothed Temp = 91.00, 
2017-05-01T23:01:35-04:00, 	Raw gas reading:,510,	Smoothed gas reading:,510,	Smoothed Temp = 91.00, 
2017-05-01T23:01:35-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:35-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:36-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:36-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:36-04:00, 	Raw gas reading:,510,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:36-04:00, 	Raw gas reading:,509,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:36-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,510,	Smoothed Temp = 91.00, 
